Asset ID,Type,Name,Path,Created At,URL,Format,Size,clean_url,category,subcategory,series,project_id,index,gallery_images
6a118a895c7cd75eb869cb53,File,atk_fa2.0.gif - atk_fa2.0.gif - 01,/ZHONGyuan/Dance Battle/atk_fa2.0.gif,2026-05-23T11:07:52.878Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/atk_fa2.0.gif?updatedAt=1779534473400,gif,336532,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/atk_fa2.0.gif,atk_fa2.0.gif,atk_fa2.0.gif,,/ZHONGyuan/Dance Battle/atk_fa2.0.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/atk_fa2.0.gif']
6a118a885c7cd75eb869ca44,File,atk_fb1.1.gif - atk_fb1.1.gif - 01,/ZHONGyuan/Dance Battle/atk_fb1.1.gif,2026-05-23T11:07:52.790Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/atk_fb1.1.gif?updatedAt=1779534473317,gif,644841,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/atk_fb1.1.gif,atk_fb1.1.gif,atk_fb1.1.gif,,/ZHONGyuan/Dance Battle/atk_fb1.1.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/atk_fb1.1.gif']
6a118a885c7cd75eb869ca0f,File,atk_fb2.0.gif - atk_fb2.0.gif - 01,/ZHONGyuan/Dance Battle/atk_fb2.0.gif,2026-05-23T11:07:52.781Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/atk_fb2.0.gif?updatedAt=1779534473323,gif,370576,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/atk_fb2.0.gif,atk_fb2.0.gif,atk_fb2.0.gif,,/ZHONGyuan/Dance Battle/atk_fb2.0.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/atk_fb2.0.gif']
6a118a885c7cd75eb869c9f0,File,atk_fc1.0.gif - atk_fc1.0.gif - 01,/ZHONGyuan/Dance Battle/atk_fc1.0.gif,2026-05-23T11:07:52.778Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/atk_fc1.0.gif?updatedAt=1779534473321,gif,353796,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/atk_fc1.0.gif,atk_fc1.0.gif,atk_fc1.0.gif,,/ZHONGyuan/Dance Battle/atk_fc1.0.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/atk_fc1.0.gif']
6a118a895c7cd75eb869cbaf,File,atk_fc2.0.gif - atk_fc2.0.gif - 01,/ZHONGyuan/Dance Battle/atk_fc2.0.gif,2026-05-23T11:07:52.927Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/atk_fc2.0.gif?updatedAt=1779534473454,gif,199754,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/atk_fc2.0.gif,atk_fc2.0.gif,atk_fc2.0.gif,,/ZHONGyuan/Dance Battle/atk_fc2.0.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/atk_fc2.0.gif']
6a118a895c7cd75eb869cb5e,File,block2.0.png - block2.0.png - 01,/ZHONGyuan/Dance Battle/block2.0.png,2026-05-23T11:07:52.886Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/block2.0.png?updatedAt=1779534473352,png,55527,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/block2.0.png,block2.0.png,block2.0.png,,/ZHONGyuan/Dance Battle/block2.0.png,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/block2.0.png']
6a118a895c7cd75eb869cb58,File,dash1.0.gif - dash1.0.gif - 01,/ZHONGyuan/Dance Battle/dash1.0.gif,2026-05-23T11:07:52.884Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/dash1.0.gif?updatedAt=1779534473397,gif,173377,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/dash1.0.gif,dash1.0.gif,dash1.0.gif,,/ZHONGyuan/Dance Battle/dash1.0.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/dash1.0.gif']
6a118a895c7cd75eb869cb4f,File,dash2.0.gif - dash2.0.gif - 01,/ZHONGyuan/Dance Battle/dash2.0.gif,2026-05-23T11:07:52.879Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/dash2.0.gif?updatedAt=1779534473419,gif,103637,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/dash2.0.gif,dash2.0.gif,dash2.0.gif,,/ZHONGyuan/Dance Battle/dash2.0.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/dash2.0.gif']
6a118a895c7cd75eb869cdec,File,fail_rise2.0.gif - fail_rise2.0.gif - 01,/ZHONGyuan/Dance Battle/fail_rise2.0.gif,2026-05-23T11:07:53.057Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/fail_rise2.0.gif?updatedAt=1779534473575,gif,124092,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/fail_rise2.0.gif,fail_rise2.0.gif,fail_rise2.0.gif,,/ZHONGyuan/Dance Battle/fail_rise2.0.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/fail_rise2.0.gif']
6a118a895c7cd75eb869ce9a,File,falling1.gif - falling1.gif - 01,/ZHONGyuan/Dance Battle/falling1.gif,2026-05-23T11:07:53.140Z,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance%20Battle/falling1.gif?updatedAt=1779534473702,gif,468802,https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/falling1.gif,falling1.gif,falling1.gif,,/ZHONGyuan/Dance Battle/falling1.gif,1,['https://ik.imagekit.io/ZHONGyuan/ZHONGyuan/Dance Battle/falling1.gif']
